,0,1,2_2,2_3,2_4,2_5more,3,4,5,6
265,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,acc
941,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,acc
643,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,acc
1302,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,unacc
620,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,acc
1345,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,acc
408,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,unacc
1249,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,unacc
351,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,unacc
199,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,unacc
677,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,unacc
798,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,unacc
1469,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,acc
999,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,unacc
654,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,unacc
1520,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,unacc
