,0_F,0_I,0_M,1,2,3,4,5,6,7,8
1517,1.0,0.0,0.0,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,10
1767,0.0,0.0,1.0,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
4119,0.0,1.0,0.0,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,4
1228,0.0,1.0,0.0,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4
2921,1.0,0.0,0.0,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,9
3933,0.0,1.0,0.0,0.235,0.18,0.06,0.058,0.022,0.0145,0.018,6
1680,0.0,0.0,1.0,0.62,0.515,0.175,1.221,0.535,0.241,0.395,13
1384,1.0,0.0,0.0,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9
2868,0.0,1.0,0.0,0.335,0.26,0.09,0.1965,0.0875,0.041,0.056,7
3713,0.0,0.0,1.0,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11
1385,0.0,1.0,0.0,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11
1918,1.0,0.0,0.0,0.6,0.465,0.16,1.133,0.466,0.2885,0.298,11
531,1.0,0.0,0.0,0.46,0.355,0.13,0.458,0.192,0.1055,0.13,13
2102,0.0,1.0,0.0,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
3403,0.0,1.0,0.0,0.35,0.265,0.11,0.209,0.066,0.059,0.075,9
2429,0.0,0.0,1.0,0.34,0.255,0.095,0.213,0.081,0.034,0.07,9
1318,0.0,1.0,0.0,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,9
1563,0.0,1.0,0.0,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,10
3718,0.0,1.0,0.0,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7
3373,0.0,0.0,1.0,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19
3402,0.0,0.0,1.0,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
3561,0.0,1.0,0.0,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,9
2671,1.0,0.0,0.0,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,8
2490,0.0,0.0,1.0,0.44,0.325,0.115,0.39,0.163,0.087,0.113,7
1333,0.0,0.0,1.0,0.57,0.435,0.125,0.8965,0.383,0.1835,0.275,9
1345,0.0,0.0,1.0,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10
95,0.0,0.0,1.0,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14
47,1.0,0.0,0.0,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
3527,0.0,1.0,0.0,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7
1958,0.0,1.0,0.0,0.65,0.52,0.15,1.238,0.5495,0.296,0.3305,10
2772,0.0,0.0,1.0,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10
1879,0.0,1.0,0.0,0.545,0.43,0.14,0.687,0.2615,0.1405,0.25,9
904,0.0,1.0,0.0,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8
151,1.0,0.0,0.0,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9
2039,0.0,1.0,0.0,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,6
503,1.0,0.0,0.0,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13
4072,0.0,1.0,0.0,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,8
3054,0.0,0.0,1.0,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12
1355,1.0,0.0,0.0,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11
2838,0.0,0.0,1.0,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9
705,0.0,0.0,1.0,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
3284,0.0,0.0,1.0,0.565,0.44,0.155,0.868,0.348,0.217,0.26,11
3181,0.0,0.0,1.0,0.5,0.385,0.135,0.551,0.2245,0.0715,0.206,11
1668,0.0,0.0,1.0,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10
4087,0.0,1.0,0.0,0.595,0.475,0.155,0.984,0.4865,0.184,0.2755,10
3510,0.0,0.0,1.0,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,9
347,0.0,1.0,0.0,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6
2950,0.0,0.0,1.0,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,11
899,0.0,1.0,0.0,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
309,0.0,0.0,1.0,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
3115,0.0,1.0,0.0,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,6
4082,0.0,1.0,0.0,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9
2821,0.0,1.0,0.0,0.39,0.29,0.09,0.2625,0.117,0.054,0.077,7
1373,0.0,0.0,1.0,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10
993,0.0,0.0,1.0,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10
1610,0.0,1.0,0.0,0.545,0.42,0.125,0.717,0.358,0.112,0.22,8
2467,0.0,0.0,1.0,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16
75,1.0,0.0,0.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15
637,0.0,0.0,1.0,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
2708,0.0,0.0,1.0,0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11
3686,1.0,0.0,0.0,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14
168,0.0,0.0,1.0,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14
925,0.0,1.0,0.0,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
3569,0.0,1.0,0.0,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11
1062,0.0,1.0,0.0,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
2299,0.0,1.0,0.0,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8
3422,0.0,0.0,1.0,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9
3567,0.0,1.0,0.0,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27,10
87,0.0,0.0,1.0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
2131,0.0,0.0,1.0,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6
2909,1.0,0.0,0.0,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,9
1580,0.0,1.0,0.0,0.5,0.4,0.12,0.616,0.261,0.143,0.1935,8
3228,0.0,1.0,0.0,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9
853,0.0,0.0,1.0,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,9
3378,0.0,0.0,1.0,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8
2738,0.0,0.0,1.0,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8
2748,0.0,1.0,0.0,0.505,0.385,0.125,0.596,0.245,0.097,0.21,9
245,0.0,1.0,0.0,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
149,0.0,1.0,0.0,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
3077,0.0,0.0,1.0,0.685,0.51,0.165,1.545,0.686,0.3775,0.4055,10
377,1.0,0.0,0.0,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10
381,0.0,0.0,1.0,0.535,0.42,0.145,0.791,0.33,0.189,0.25,10
2214,1.0,0.0,0.0,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8
1453,0.0,1.0,0.0,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
4123,0.0,1.0,0.0,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,8
4110,0.0,0.0,1.0,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9
2812,0.0,1.0,0.0,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5
3410,0.0,1.0,0.0,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6
635,0.0,0.0,1.0,0.355,0.265,0.09,0.168,0.05,0.041,0.063,8
4118,0.0,0.0,1.0,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,9
1211,0.0,1.0,0.0,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4
3998,0.0,1.0,0.0,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,6
1607,0.0,1.0,0.0,0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,8
1347,0.0,1.0,0.0,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,9
3521,0.0,1.0,0.0,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,3
2216,0.0,1.0,0.0,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7
1804,0.0,0.0,1.0,0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,10
3352,1.0,0.0,0.0,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,15
2064,0.0,0.0,1.0,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8
2144,0.0,0.0,1.0,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
1658,0.0,1.0,0.0,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8
203,1.0,0.0,0.0,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
2818,0.0,1.0,0.0,0.36,0.27,0.09,0.232,0.12,0.0435,0.056,8
1933,0.0,0.0,1.0,0.62,0.495,0.195,1.5145,0.579,0.346,0.5195,15
3803,0.0,1.0,0.0,0.32,0.23,0.06,0.129,0.0615,0.0275,0.0355,7
3367,0.0,1.0,0.0,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
2727,0.0,1.0,0.0,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,7
1040,0.0,0.0,1.0,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
3853,1.0,0.0,0.0,0.57,0.465,0.155,0.9685,0.446,0.261,0.255,9
1821,1.0,0.0,0.0,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,9
2587,1.0,0.0,0.0,0.57,0.445,0.15,0.995,0.504,0.185,0.2505,9
840,0.0,0.0,1.0,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
623,1.0,0.0,0.0,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
443,0.0,1.0,0.0,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10
387,0.0,0.0,1.0,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
1570,0.0,0.0,1.0,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,7
1341,0.0,0.0,1.0,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10
782,0.0,0.0,1.0,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10
4066,0.0,1.0,0.0,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7
2080,0.0,0.0,1.0,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,9
2737,0.0,1.0,0.0,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,9
3608,0.0,0.0,1.0,0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7
386,0.0,0.0,1.0,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12
1243,0.0,1.0,0.0,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8
1011,1.0,0.0,0.0,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10
4025,0.0,1.0,0.0,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7
3342,0.0,0.0,1.0,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,14
2807,0.0,0.0,1.0,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,13
3298,1.0,0.0,0.0,0.62,0.5,0.175,1.146,0.477,0.23,0.39,13
3691,0.0,0.0,1.0,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
16,0.0,1.0,0.0,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7
1530,0.0,0.0,1.0,0.75,0.55,0.18,1.893,0.942,0.397,0.445,11
3393,0.0,0.0,1.0,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10
2799,0.0,0.0,1.0,0.64,0.495,0.17,1.139,0.5395,0.282,0.285,10
430,1.0,0.0,0.0,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18
752,1.0,0.0,0.0,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13
2118,1.0,0.0,0.0,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8
2099,1.0,0.0,0.0,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10
3371,0.0,0.0,1.0,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
1609,0.0,1.0,0.0,0.545,0.375,0.12,0.543,0.2375,0.1155,0.1725,8
2753,0.0,1.0,0.0,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8
496,1.0,0.0,0.0,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,12
2932,0.0,0.0,1.0,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10
3418,1.0,0.0,0.0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8
2356,0.0,0.0,1.0,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13
1566,0.0,1.0,0.0,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
4126,0.0,0.0,1.0,0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,11
2065,1.0,0.0,0.0,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8
2598,0.0,0.0,1.0,0.6,0.46,0.15,1.247,0.5335,0.2735,0.29,9
1147,0.0,0.0,1.0,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9
2410,1.0,0.0,0.0,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,10
950,0.0,0.0,1.0,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
2919,1.0,0.0,0.0,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
605,0.0,1.0,0.0,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13
3044,0.0,1.0,0.0,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,9
3095,0.0,0.0,1.0,0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,9
2732,0.0,1.0,0.0,0.41,0.325,0.11,0.326,0.1325,0.075,0.101,8
1772,0.0,1.0,0.0,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
2906,0.0,0.0,1.0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8
2431,1.0,0.0,0.0,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,18
2897,0.0,1.0,0.0,0.545,0.43,0.15,0.742,0.3525,0.158,0.208,10
4117,1.0,0.0,0.0,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,9
1703,1.0,0.0,0.0,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10
1884,0.0,0.0,1.0,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7
345,0.0,0.0,1.0,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
1814,0.0,0.0,1.0,0.655,0.545,0.19,1.4245,0.6325,0.333,0.378,10
1901,0.0,0.0,1.0,0.575,0.435,0.135,0.992,0.432,0.2225,0.239,10
3477,0.0,1.0,0.0,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6
2560,0.0,1.0,0.0,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7
2426,0.0,1.0,0.0,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
2678,0.0,0.0,1.0,0.615,0.45,0.15,1.198,0.707,0.2095,0.2505,7
1908,0.0,0.0,1.0,0.575,0.475,0.145,0.857,0.3665,0.173,0.269,9
2728,0.0,1.0,0.0,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8
1020,0.0,0.0,1.0,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10
2127,0.0,1.0,0.0,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7
1315,0.0,1.0,0.0,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,9
3448,0.0,0.0,1.0,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,7
3856,0.0,1.0,0.0,0.335,0.255,0.085,0.1785,0.071,0.0405,0.055,9
3186,1.0,0.0,0.0,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
3189,0.0,0.0,1.0,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,7
3953,0.0,1.0,0.0,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8
17,1.0,0.0,0.0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
1872,0.0,1.0,0.0,0.53,0.395,0.13,0.575,0.247,0.115,0.183,9
1442,0.0,1.0,0.0,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
2996,1.0,0.0,0.0,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10
3458,1.0,0.0,0.0,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8
1205,0.0,0.0,1.0,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11
3793,1.0,0.0,0.0,0.665,0.525,0.18,1.5785,0.678,0.229,0.456,14
3989,1.0,0.0,0.0,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
142,0.0,0.0,1.0,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
26,1.0,0.0,0.0,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11
1159,0.0,0.0,1.0,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10
2742,0.0,1.0,0.0,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8
207,0.0,1.0,0.0,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8
101,0.0,0.0,1.0,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15
1112,1.0,0.0,0.0,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7
708,0.0,0.0,1.0,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10
2842,0.0,0.0,1.0,0.6,0.475,0.175,1.11,0.5105,0.256,0.285,9
931,1.0,0.0,0.0,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
1508,0.0,0.0,1.0,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,11
921,0.0,1.0,0.0,0.42,0.32,0.115,0.376,0.169,0.092,0.1,5
1224,0.0,1.0,0.0,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6
2285,0.0,1.0,0.0,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9
743,1.0,0.0,0.0,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17
2983,1.0,0.0,0.0,0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8
450,0.0,0.0,1.0,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16
1739,0.0,0.0,1.0,0.675,0.525,0.16,1.2835,0.572,0.2755,0.3545,13
102,0.0,0.0,1.0,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15
1787,0.0,1.0,0.0,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,8
204,0.0,0.0,1.0,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
2604,1.0,0.0,0.0,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10
228,1.0,0.0,0.0,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
1277,0.0,1.0,0.0,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8
4146,0.0,0.0,1.0,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10
1635,0.0,1.0,0.0,0.575,0.45,0.125,0.78,0.3275,0.188,0.235,9
2060,0.0,0.0,1.0,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,9
246,0.0,1.0,0.0,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13
2213,0.0,0.0,1.0,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,17
3821,0.0,0.0,1.0,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,10
1676,0.0,0.0,1.0,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,10
2988,0.0,0.0,1.0,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,9
3247,1.0,0.0,0.0,0.61,0.495,0.19,1.213,0.464,0.306,0.365,15
1166,1.0,0.0,0.0,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9
3824,0.0,0.0,1.0,0.62,0.46,0.17,1.127,0.535,0.2635,0.296,7
4074,0.0,1.0,0.0,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,8
669,1.0,0.0,0.0,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,13
3862,0.0,0.0,1.0,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
1036,1.0,0.0,0.0,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
2436,0.0,0.0,1.0,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23
1088,0.0,1.0,0.0,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6
930,0.0,1.0,0.0,0.44,0.325,0.09,0.35,0.148,0.067,0.105,7
3107,0.0,1.0,0.0,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,5
3508,1.0,0.0,0.0,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9
3170,1.0,0.0,0.0,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14
2804,1.0,0.0,0.0,0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,9
3308,0.0,0.0,1.0,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5
3361,0.0,0.0,1.0,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9
2508,0.0,1.0,0.0,0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,6
3547,0.0,1.0,0.0,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,9
1381,1.0,0.0,0.0,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11
1204,0.0,0.0,1.0,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11
1114,0.0,1.0,0.0,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9
3475,0.0,1.0,0.0,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6
3788,1.0,0.0,0.0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8
999,1.0,0.0,0.0,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11
3580,1.0,0.0,0.0,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10
1404,1.0,0.0,0.0,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10
4042,1.0,0.0,0.0,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236,10
2297,0.0,0.0,1.0,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8
454,1.0,0.0,0.0,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14
1806,0.0,0.0,1.0,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11
3599,0.0,0.0,1.0,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
3904,0.0,0.0,1.0,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
4096,1.0,0.0,0.0,0.635,0.5,0.175,1.477,0.684,0.3005,0.39,12
753,1.0,0.0,0.0,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13
18,0.0,0.0,1.0,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7
650,0.0,0.0,1.0,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5
3159,1.0,0.0,0.0,0.34,0.255,0.085,0.204,0.097,0.021,0.05,6
2187,0.0,0.0,1.0,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14
3847,0.0,0.0,1.0,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9
400,1.0,0.0,0.0,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9
1202,0.0,0.0,1.0,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12
1281,0.0,1.0,0.0,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9
3366,0.0,0.0,1.0,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
3134,0.0,0.0,1.0,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,8
351,1.0,0.0,0.0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
2735,0.0,1.0,0.0,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8
970,1.0,0.0,0.0,0.515,0.43,0.14,0.834,0.367,0.2,0.23,8
966,0.0,1.0,0.0,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,7
