,0,1,2_apr,2_aug,2_dec,2_feb,2_jan,2_jul,2_jun,2_mar,2_may,2_nov,2_oct,2_sep,3_fri,3_mon,3_sat,3_sun,3_thu,3_tue,3_wed,4,5,6,7,8,9,10,11,12
489,4,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.1,141.3,605.8,17.7,19.4,71,7.6,0.0,46.7
301,6,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,0.0
5,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0
200,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,63.5,70.8,665.3,0.8,22.6,38,3.6,0.0,11.32
27,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0
195,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01
196,2,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02
230,8,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,71.3
101,3,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0
356,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,13.06
331,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,6.58
199,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24
154,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46
285,5,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,24.24
289,7,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0,0.0
50,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0
47,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0
111,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0
434,2,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,93.6,235.1,723.1,10.1,20.9,66,4.9,0.0,15.34
96,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0,0.0
34,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0
151,6,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19
211,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23
322,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,7.21
144,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71
421,8,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.7,191.4,635.9,7.8,26.2,36,4.5,0.0,185.76
182,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44
292,9,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,8.0
121,3,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0.0
217,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48
69,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0
454,4,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89.4,266.2,803.3,5.6,17.4,54,3.1,0.0,0.0
191,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.2,48.3,97.8,12.5,11.7,33,4.0,0.0,8.31
95,8,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0
75,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0
166,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14
348,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,0.0
178,2,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69
104,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0
363,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,0.52
382,8,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.7,194.1,643.0,6.8,16.2,63,2.7,0.0,16.33
304,3,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
223,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85
41,4,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0
234,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66
266,4,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79
25,7,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0
453,7,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.5,238.2,730.6,7.5,17.7,65,4.0,0.0,0.0
328,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.2,102.3,751.5,8.4,21.2,32,2.2,0.0,0.0
284,3,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,1.1
28,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0
511,6,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,166.9,752.6,7.1,18.2,62,5.4,0.0,0.43
59,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0
153,3,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
162,6,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9
418,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,93.4,17.3,28.3,9.9,13.8,24,5.8,0.0,0.0
271,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92.1,152.6,658.2,14.3,21.8,56,3.1,0.0,0.52
221,8,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07
287,7,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.0
35,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0
270,4,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0,4.4
437,8,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,92.1,207.0,672.6,8.2,26.8,35,1.3,0.0,0.54
164,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95
132,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0
296,7,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,93.1,180.4,430.8,11.0,22.2,48,1.3,0.0,0.0
282,6,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,24.77
445,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,9.96
49,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0
319,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.8,119.0,783.5,7.5,21.6,27,2.2,0.0,0.0
114,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0
379,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.9,18.9,30.6,8.0,8.7,51,5.8,0.0,0.0
279,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,22.03
6,8,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0
452,1,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,9.71
66,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0
273,2,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,3.09
360,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,122.0,789.7,10.2,21.1,39,2.2,0.0,8.12
36,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0
83,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0
350,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1,99.0,745.3,9.6,12.8,64,3.6,0.0,1.64
491,4,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95.1,141.3,605.8,17.7,28.7,33,4.0,0.0,0.0
472,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,89.6,25.4,73.7,5.7,18.0,40,4.0,0.0,38.48
